tag_id,concepto,fecha,hora,caseta_nombre,carril_id,clase,importe,saldo,folio
TIJ001,PEAJE,15/01/2025,08:30:00,Caseta Tijuana-Tecate,2,A,85.50,2500.00,TJ20250115001
TIJ001,PEAJE,15/01/2025,10:45:00,Caseta Mexicali,1,A,112.00,2388.00,MX20250115002
TIJ001,PEAJE,15/01/2025,14:20:00,Caseta Hermosillo,3,A,98.50,2289.50,HM20250115003
TIJ001,PEAJE,15/01/2025,18:30:00,Caseta Culiacán,2,A,156.00,2133.50,CU20250115004
TIJ001,PEAJE,16/01/2025,07:45:00,Caseta Mazatlán,1,A,89.50,2044.00,MZ20250116001
TIJ001,PEAJE,16/01/2025,12:15:00,Caseta Tepic,2,A,134.00,1910.00,TP20250116002
TIJ001,PEAJE,16/01/2025,16:40:00,Caseta Guadalajara,3,A,178.50,1731.50,GD20250116003
TIJ001,PEAJE,17/01/2025,09:20:00,Caseta León,1,A,145.00,1586.50,LN20250117001
TIJ001,PEAJE,17/01/2025,14:30:00,Caseta Querétaro,2,A,167.50,1419.00,QR20250117002
TIJ001,PEAJE,17/01/2025,18:15:00,Caseta Pachuca,1,A,89.00,1330.00,PC20250117003
TIJ001,PEAJE,18/01/2025,08:45:00,Caseta Veracruz,3,A,198.50,1131.50,VZ20250118001
TIJ001,PEAJE,18/01/2025,15:20:00,Caseta Campeche,2,A,156.00,975.50,CM20250118002
TIJ001,PEAJE,18/01/2025,19:30:00,Caseta Mérida,1,A,123.50,852.00,MR20250118003
ACA002,PEAJE,15/01/2025,09:15:00,Caseta Acapulco-Cuernavaca,2,A,145.50,1800.00,AC20250115001
ACA002,PEAJE,15/01/2025,12:30:00,Caseta Cuernavaca,1,A,98.00,1702.00,CV20250115002
ACA002,PEAJE,15/01/2025,15:45:00,Caseta México-Toluca,3,A,67.50,1634.50,MT20250115003
ACA002,PEAJE,15/01/2025,18:20:00,Caseta 366,2,A,45.00,1589.50,366-20250115004
MTY003,PEAJE,15/01/2025,07:00:00,Caseta Monterrey-Saltillo,1,A,125.50,2200.00,MS20250115001
MTY003,PEAJE,15/01/2025,10:30:00,Caseta Saltillo,2,A,89.00,2111.00,ST20250115002
MTY003,PEAJE,15/01/2025,14:15:00,Caseta San Luis Potosí,3,A,167.50,1943.50,SLP20250115003
MTY003,PEAJE,15/01/2025,18:45:00,Caseta Aguascalientes,1,A,134.00,1809.50,AG20250115004
MTY003,PEAJE,16/01/2025,08:20:00,Caseta Zacatecas,2,A,156.50,1653.00,ZC20250116001
MTY003,PEAJE,16/01/2025,12:45:00,Caseta Guadalajara,3,A,178.50,1474.50,GD20250116002
LEO004,PEAJE,15/01/2025,06:30:00,Caseta León-Aguascalientes,1,A,89.50,1500.00,LA20250115001
LEO004,PEAJE,15/01/2025,09:45:00,Caseta Aguascalientes,2,A,134.00,1366.00,AG20250115002
LEO004,PEAJE,15/01/2025,13:20:00,Caseta Zacatecas,3,A,156.50,1209.50,ZC20250115003
LEO004,PEAJE,15/01/2025,17:30:00,Caseta Durango,1,A,189.00,1020.50,DG20250115004
LEO004,PEAJE,16/01/2025,08:15:00,Caseta Torreón,2,A,167.50,853.00,TR20250116001
LEO004,PEAJE,16/01/2025,12:40:00,Caseta Chihuahua,3,A,234.50,618.50,CH20250116002
TIJ001,PEAJE,19/01/2025,08:00:00,Caseta Mérida-Cancún,1,A,145.00,707.00,MC20250119001
TIJ001,PEAJE,19/01/2025,11:30:00,Caseta Valladolid,2,A,98.50,608.50,VL20250119002
ACA002,PEAJE,16/01/2025,09:30:00,Caseta Toluca,1,A,78.50,1511.00,TC20250116001
ACA002,PEAJE,16/01/2025,13:15:00,Caseta Morelia,2,A,156.00,1355.00,MO20250116002
MTY003,PEAJE,17/01/2025,07:45:00,Caseta Puerto Vallarta,1,A,198.50,1276.00,PV20250117001
LEO004,PEAJE,17/01/2025,09:20:00,Caseta Cuauhtémoc,2,A,145.50,473.00,CT20250117001